Precio,Habitaciones,Baños,Parqueos,Sector,Condicion,Uso Actual,mt2,Piso/Nivel,Ascensor,Edificable,Agno Construccion,Planta Electrica,Seguridad 24 Horas,Control de Acceso,Piscina,Gimnasio,Medio baño
1400.0,3,2,2, Los Prados,Segundo Uso,Residencial,334.0,4,False,False,2013,False,True,True,False,False,True
1700.0,2,2,2, Ensanche Naco,Segundo Uso,Residencial,88.0,3,True,False,2023,True,True,True,False,False,True
1700.0,2,2,2, Ensanche Naco,Segundo Uso,Residencial,150.5397022332506,6,True,False,2023,True,True,True,True,True,True
1700.0,2,2,2, Ensanche Naco,Segundo Uso,Residencial,150.5397022332506,3,True,False,2023,True,False,False,False,False,True
1700.0,2,2,2, Ensanche Naco,Nueva,Residencial,89.0,3,True,False,2023,True,False,False,True,True,True
1375.0,3,2,2, Piantini,Segundo Uso,Residencial,207.0,9,True,False,2010,True,True,True,False,False,True
1400.0,3,2,2, Evaristo Morales,Nueva,Residencial,150.5397022332506,8,True,False,2022,False,True,False,False,False,True
2500.0,2,2,2, Piantini,Segundo Uso,Residencial,150.5397022332506,5,True,False,2021,True,True,True,True,False,True
2500.0,2,2,2, Piantini,Segundo Uso,Residencial,150.5397022332506,5,True,False,2021,True,True,False,True,True,True
1600.0,3,2,2, Piantini,Segundo Uso,Residencial,207.0,9,True,False,2018,True,True,True,False,False,True
2300.0,2,2,1, Bella Vista Norte,Nueva,Residencial,150.5397022332506,4,True,False,2023,True,True,True,True,True,True
2800.0,2,2,2, Los Cacicazgos,Nueva,Residencial,151.0,5,True,False,2024,True,True,True,True,True,True
2300.0,2,2,2, Urb. Real,Nueva,Residencial,112.0,9,True,False,2023,True,True,True,True,True,True
1600.0,2,2,2, Ensanche Naco,Segundo Uso,Residencial,143.0,9,True,False,2024,False,False,False,True,True,True
1400.0,2,2,2, Ensanche Naco,Nueva,Residencial,115.0,9,True,False,2024,True,True,True,True,True,True
1200.0,2,2,2, Bella Vista,Nueva,Residencial,135.0,5,True,False,2022,True,True,True,True,True,False
1500.0,2,2,2, Mirador Norte,Segundo Uso,Residencial,126.0,2,True,False,2023,True,True,False,True,True,False
1500.0,2,2,2, Renacimiento,Nueva,Residencial,122.0,4,True,False,2023,True,True,False,False,False,False
1300.0,3,3,2, El Millón,Segundo Uso,Residencial,150.5397022332506,4,True,False,2022,False,True,False,True,True,True
1700.0,2,2,2, La Esperilla,Segundo Uso,Residencial,122.0,7,True,False,2009,True,True,True,True,True,True
1300.0,3,3,2, El Millón,Segundo Uso,Residencial,176.0,5,True,False,2022,False,False,False,False,True,True
1300.0,3,3,2, El Millón,Segundo Uso,Residencial,176.0,5,True,False,2022,True,True,False,False,True,True
1750.0,2,2,2, Evaristo Morales,Nueva,Residencial,120.0,5,True,False,2023,False,True,False,False,False,True
1200.0,3,3,2, Renacimiento,Nueva,Residencial,151.0,4,True,False,2023,True,True,True,False,True,True
2400.0,3,3,2, Urbanización Fernández,Segundo Uso,Residencial,151.0,4,True,False,2020,True,True,True,False,False,True
1500.0,2,2,2, Renacimiento,Segundo Uso,Residencial,122.0,4,True,False,2023,True,False,False,False,False,True
1700.0,2,2,2, La Esperilla,Segundo Uso,Residencial,101.0,6,True,False,2021,True,True,True,True,True,True
1600.0,2,2,2, Ensanche Naco,Nueva,Mixto,82.0,9,True,False,2023,False,False,False,True,True,True
1600.0,2,2,2, Ensanche Paraíso,Segundo Uso,Residencial,130.0,10,True,False,2020,True,True,False,True,True,True
1250.0,3,2,2, Mirador Norte,Segundo Uso,Residencial,142.0,3,True,True,2023,True,True,False,False,True,True
1700.0,2,2,2, La Esperilla,Segundo Uso,Residencial,150.0,7,True,False,2021,False,True,True,True,True,False
1250.0,3,2,2, Mirador Norte,Remodelada,Residencial,150.5397022332506,3,True,False,2017,True,True,True,False,True,True
1300.0,2,2,2, La Esperilla,Segundo Uso,Residencial,123.0,12,True,False,2021,True,True,False,True,True,False
1700.0,2,2,2, La Esperilla,Segundo Uso,Residencial,150.0,7,True,False,2021,False,False,False,True,False,True
1700.0,2,2,2, La Esperilla,Segundo Uso,Residencial,145.0,7,True,False,2021,True,True,False,True,True,True
1400.0,3,2,2, Mirador Norte,Nueva,Residencial,150.5397022332506,3,False,False,2023,False,True,False,False,False,True
1250.0,3,2,2, Mirador Norte,Segundo Uso,Residencial,150.5397022332506,3,False,False,2023,True,True,False,False,True,True
1250.0,3,2,2, Mirador Norte,Segundo Uso,Residencial,142.0,3,True,False,2023,True,True,False,False,True,True
1250.0,3,3,2, Mirador Norte,Segundo Uso,Residencial,142.0,3,True,False,2023,True,True,True,False,True,True
1700.0,2,2,2, La Esperilla,Segundo Uso,Residencial,150.0,6,True,False,2021,True,True,True,True,True,True
1700.0,2,2,2, La Esperilla,Segundo Uso,Comercial,122.0,6,True,False,2021,True,True,True,True,True,False
1550.0,1,1,1, Piantini,Segundo Uso,Residencial,86.0,5,True,False,2021,True,True,True,True,True,True
1550.0,1,1,1, Piantini,Segundo Uso,Residencial,86.0,5,True,False,2021,False,False,False,False,False,True
1400.0,3,2,2, Evaristo Morales,Segundo Uso,Residencial,145.0,5,True,False,2017,True,True,True,False,False,True
1250.0,2,2,2, La Esperilla,Nueva,Residencial,123.0,12,True,False,2024,True,True,True,True,True,False
1700.0,1,2,1, Piantini,Nueva,Residencial,79.0,5,True,False,2023,True,True,True,True,True,False
10639.999999999985,2,2,2, Zona Universitaria,Nueva,Residencial,140.0,3,True,False,2024,True,True,True,True,True,True
1700.0,1,2,1, Piantini,Nueva,Residencial,79.0,5,True,False,2021,True,True,True,True,True,False
1650.0,2,3,2, La Julia,Segundo Uso,Residencial,97.0,4,True,False,2021,True,True,True,True,True,True
1500.0,3,2,2, Serrallés,Segundo Uso,Residencial,152.0,6,True,False,2021,True,True,True,False,True,True
1300.0,3,2,2, Mirador Norte,Segundo Uso,Residencial,182.0,5,True,False,2023,True,True,True,True,False,True
